Año (aaaa);Salario minimo diario (COP);Salario minimo mensual (COP);Variación porcentual anual %
1984;376,6;11.298,00;
1985;451,92;13.558,00;20
1986;560,38;16.811,00;24
1987;683,66;20.510,00;22
1988;854,58;25.637,00;25
1989;1.085,32;32.560,00;27
1990;1.367,50;41.025,00;26
1991;1.724,00;51.720,00;26,1
1992;2.173,00;65.190,00;26,04
1993;2.717,00;81.510,00;25
1994;3.290,00;98.700,00;21,1
1995;3.964,45;118.934,00;20,5
1996;4.737,50;142.125,00;19,5
1997;5.733,50;172.005,00;21
1998;6.794,20;203.826,00;18,5
1999;7.882,00;236.460,00;16
2000;8.670,00;260.100,00;10
2001;9.533,33;286.000,00;10
2002;10.300,00;309.000,00;8
2003;11.066,67;332.000,00;7,4
2004;11.933,33;358.000,00;7,8
2005;12.716,67;381.500,00;6,6
2006;13.600,00;408.000,00;6,9
2007;14.456,67;433.700,00;6,3
2008;15.383,33;461.500,00;6,4
2009;16.563,33;496.900,00;7,7
2010;17.166,67;515.000,00;3,6
2011;17.853,33;535.600,00;4
2012;18.890,00;566.700,00;5,8
2013;19.650,00;589.500,00;4,02
2014;20.533,33;616.000,00;4,5
2015;21.478,33;644.350,00;4,6
2016;22.981,83;689.455,00;7
2017;24.590,57;737.717,00;7
2018;26.041,40;781.242,00;5,9
2019;27.603,87;828.116,00;6
2020;29.260,10;877.803,00;6
2021;30.284,20;908.526,00;3,5
2022;33.333,33;1.000.000,00;10,07
2023;38.666,67;1.160.000,00;16
;;;
;;;
;;;
 ;;;
 ;;;
